Nelson,Brian 72 144 Doctorate
Johnson,Kim 72 144 Doctorate
Ronney,Tina 72 144 Junior
Fuller,Everett 72 144 Junior
Laws,Ann 72 144 Junior
Brown,William 72 144 Junior
Jacobs,Peter 72 144 Junior 
Wan,Xu 72 144 Junior 
Cheng,Yan 72 144 Junior
Hagen,Carolyn 72 144 Junior
O'Brien,Bryan 21 42 Master's
Johnson,Mary 21 42 Master's
Jones,Sally 32 64 Sophomore
Haines,Carol 32 64 Sophomore
Higgins,Mike 32 64 Sophomore 
Wilson,Timothy 24 48 Freshman
McCaulley,Kaley 24 48 Freshman
Peterson,Sally 24 48 Freshman
Hammond,Jill 24 48 Freshman
Geralds,Jim 24 48 Freshman
Brown,Karen 21 84 Freshman
James,Rachel 50 200 Sophomore
King,Linda 66 264 Junior
Carey,Rob 93 372 Senior
Dawson,Glenn 21 84 Master's
Long,Pamela 21 84 Doctorate

